Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real;
;;001;100;91216;60900;2021/000600;2021/000600;MEMORIAL EN HOMENAJE A LOS DEPORTADOS A CAMPOS DE CONCENTRACIÓN NAZIS;201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;220000,00;0,00;220000,00;8489,54;0,00;211510,46;211510,46;33000,00;0,00;0,00;
;;001;100;91230;62302;2022/000111;2022/000111;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;600,00;600,00;74,21;0,00;525,79;525,79;0,00;0,00;0,00;
;;001;100;91230;62500;2022/000111;2022/000111;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;8000,00;0,00;8000,00;8000,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;001;100;91230;62599;2022/000111;2022/000111;EQUIPAMIENTO SERVICIOS SECRETARIA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;001;100;91230;63600;2022/000112;2022/000112;SERVICIOS SECRETARÍA GENERAL DEL PLENO. EQUIPOS DE COMUNICACIÓN STREAMING;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2000,00;0,00;2000,00;2000,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;001;100;91240;62500;2022/000113;2022/000113;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;10000,00;0,00;10000,00;10000,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;001;100;91240;62599;2022/000113;2022/000113;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;4491,80;0,00;508,20;508,20;0,00;0,00;0,00;
;;001;102;49102;64100;2022/000557;2022/000557;PLAN DE DESARROLLO DE LA ADMINISTRACIÓN ELECTRÓNICA;998;VARIOS DISTRITOS;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;90500,00;0,00;90500,00;44,39;0,00;90455,61;0,00;0,00;0,00;0,00;
;;001;102;92012;60900;2022/000550;2022/000550;PLACA CONMEMORATIVA A JUSTA FREIRE EN EL DISTRITO DE CHAMBERÍ. INSTALACIÓN;207;CHAMBERI;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;20000,00;0,00;20000,00;20000,00;0,00;0,00;0,00;0,00;0,00;0,00;
;;001;102;92012;62301;2022/000013;2022/000013;SERVICIOS COORDINACIÓN GENERAL DE LA ALCALDÍA. INSTALACIONES TÉCNICAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;40000,00;0,00;40000,00;40000,00;0,00;0,00;0,00;0,00;0,00;0,00;
